,y,in_out,avg_in_m,avg_out_m,small_eti,sum_b100_out,sum_b500_out,sum_b1k_out,sum_a1k_out,avg_b100_out,avg_b500_out,avg_b1k_out,avg_a1k_out,sum_b500_in,sum_b1k_in,sum_b5k_in,sum_b10k_in,sum_a10k_in,avg_b500_in,avg_b1k_in,avg_b5k_in,avg_b10k_in,avg_a10k_in,t_sum_b100_out,t_sum_b500_out,t_sum_b1k_out,t_sum_a1k_out,t_sum_b500_in,t_sum_b1k_in,t_sum_b5k_in,t_sum_b10k_in,t_sum_a10k_in,eti_b100_in1k,eti_b500_in1k,eti_b1k_in1k,eti_a1k_in1k,eti_b100_in5k,eti_b500_in5k,eti_b1k_in5k,eti_a1k_in5k,eti_b100_in10k,eti_b500_in10k,eti_b1k_in10k,eti_a1k_in10k,eti_b100_ina10k,eti_b500_ina10k,eti_b1k_ina10k,eti_a1k_ina10k,eti_b100_in,eti_b500_in,eti_b1k_in,eti_a1k_in
HPF129J,2,0.283388,91641.82,91574.96,0.275544,3823,23106.05,48824.99,198970.9,52.36986,202.6846,668.8355,4233.422,5075.46,6200,91050,12100,160500,195.21,620,2167.857,6050,22928.57,73,114,73,47,26,10,42,2,7,0.616613,3.726782,7.874998,32.09207,0.041988,0.253773,0.536244,2.185292,0.31595,1.909591,4.035123,16.44387,0.023819,0.143963,0.304206,1.239694,0.013906,0.084045,0.177594,0.723727
HPF14D,3,0.199125,52095,52618.5,0.337031,11244,23408.85,18020,105182.7,40.73913,220.8382,600.6667,2337.392,6625,12040,45000,30500,62120,169.8718,573.3333,1956.522,6100,20706.67,276,106,30,45,39,21,23,5,3,0.933887,1.944257,1.496678,8.7361,0.249867,0.520197,0.400444,2.337392,0.368656,0.767503,0.59082,3.448611,0.181005,0.376833,0.290084,1.693217,0.071945,0.149783,0.115302,0.673018
HPF15E,1,0.259786,66094.87,65224.73,0.31848,11940.09,40688.27,10521.32,132524.5,41.74857,187.5035,618.9012,3155.345,13550,11966.8,79963.91,22667.24,70136.67,171.519,569.8476,1999.098,7555.747,23378.89,286,217,17,42,79,21,40,3,3,0.997768,3.400096,0.879209,11.07435,0.149318,0.508833,0.131576,1.657304,0.526755,1.795025,0.464164,5.846521,0.17024,0.580128,0.150012,1.889518,0.060217,0.205201,0.053062,0.668355
HPF16F,1,0.284722,49719.15,49719.15,0.407075,9294.58,27599.44,23824.32,88439.11,44.2599,197.1389,643.9005,1965.314,13368.4,12007,49782.05,9000,65000,188.2873,600.35,1914.694,9000,13000,210,140,37,45,71,20,26,1,5,0.774097,2.298612,1.984203,7.365629,0.186705,0.554405,0.478572,1.776526,1.032731,3.066604,2.647147,9.826568,0.142994,0.424607,0.366528,1.360602,0.062314,0.185036,0.159726,0.592925
HPF19I,1,0.464789,170929.3,171319.3,0.196254,8790,53418,38428.65,413321.2,53.27273,194.9562,582.2523,3084.487,19360.85,16249,110338,164950,201890,111.9124,580.3214,1970.321,5687.931,18353.64,165,274,66,134,173,28,56,29,11,0.540956,3.287464,2.364986,25.43672,0.079664,0.484131,0.348281,3.745956,0.053289,0.323844,0.232972,2.505737,0.043539,0.26459,0.190344,2.04726,0.017142,0.104172,0.074941,0.806028
HPF22B,4,0.596817,85923.9,86217.04,0.422361,8776,75704,24392.83,149778.3,47.69565,165.2926,609.8208,2080.254,43441.69,24170,119491,31487,39182,130.4555,636.0526,1707.014,5247.833,13060.67,184,458,40,72,333,38,70,6,3,0.363095,3.132147,1.009219,6.196867,0.073445,0.633554,0.204139,1.253469,0.278718,2.404294,0.774695,4.756829,0.22398,1.932112,0.622552,3.82263,0.034046,0.293686,0.09463,0.58105
HPF25E,4,0.433437,40918.47,49751.31,0.535817,3179.32,37404.7,25190.38,83479.52,41.28987,203.2864,662.9047,3478.313,14186.27,7646.15,37143,27780,36000,141.8627,588.1654,1768.714,6945,18000,77,184,38,24,100,13,21,4,2,0.415807,4.891965,3.294518,10.91785,0.085597,1.007046,0.6782,2.247517,0.114446,1.346461,0.906781,3.005022,0.088314,1.039019,0.699733,2.318876,0.0259,0.304709,0.205208,0.680048
HPF30J,2,0.542373,183807.9,183807.8,0.24782,7651.86,74785.14,54217.09,414769.4,48.73796,230.8183,645.4415,2900.485,30802.8,38523,230851.9,121901,129345,188.9742,611.4762,1748.878,6415.842,18477.86,157,324,84,143,163,63,132,19,7,0.198631,1.941311,1.407395,10.7668,0.033146,0.323953,0.234857,1.79669,0.062771,0.613491,0.444763,3.40251,0.059159,0.578183,0.419166,3.206691,0.013877,0.135622,0.098322,0.752179
HPF31A,3,0.893333,15673.24,15638.47,0.22345,1026.38,5024,4456.19,36408.83,36.65643,193.2308,742.6983,2427.255,7283.73,7390,26659,5687,,202.3258,739,1332.95,5687,,28,26,6,15,36,10,20,1,,0.138888,0.679838,0.603003,4.92677,0.0385,0.188454,0.167155,1.365724,0.180478,0.883418,0.783575,6.402115,,,,,0.021829,0.106849,0.094773,0.774331
HPF33C,4,0.544944,38288.12,38288.12,0.400282,1569.69,19057.19,25351.3,68886.17,44.84829,247.496,724.3229,2222.135,11274.35,13115,45475,45000,,239.8798,624.5238,1977.174,7500,,35,77,35,31,47,21,23,6,,0.119687,1.453083,1.933,5.252472,0.034518,0.41907,0.557478,1.514814,0.034882,0.423493,0.563362,1.530804,,,,,0.013666,0.16591,0.220706,0.599718
